Current (mA) - Plot 0	Flow (GPM) - Plot 0	Current (mA) - Plot 1	Flow (GPM) - Plot 1	Current (mA) - Plot 2	Flow (GPM) - Plot 2	
20.8m	168.5m					
20.7m	168.5m					
20.8m	167m					
20.8m	167m					
20.8m	163.7m					
20.8m	165.3m					
20.8m	168.7m					
20.9m	169.5m					
20.8m	170.7m					
20.8m	170.2m					
20.8m	169.1m					
20.8m	171.2m					
20.8m	172m					
20.8m	168.9m					
20.8m	167.8m					
20.8m	166m					
20.8m	165.4m					
20.8m	168.3m					
20.8m	169.2m					
20.8m	169.8m					
20.9m	169.6m					
20.8m	168.2m					
20.8m	168.5m					
20.8m	170.7m					
20.8m	168.3m					
20.9m	165.6m					
20.8m	165.3m					
20.9m	164.9m					
20.8m	167.3m					
20.9m	169.6m					
20.8m	169.5m					
20.8m	169.5m					
20.9m	168.5m					
20.8m	168.4m					
20.9m	169.9m					
20.8m	169.7m					
20.9m	164.6m					
20.9m	164.4m					
20.9m	165.3m					
20.8m	166.3m					
20.8m	169.8m					
20.9m	169.5m					
20.9m	168.5m					
20.9m	169.5m					
20.8m	170.2m					
20.9m	170.1m					
20.9m	170m					
20.8m	167.1m					
20.9m	165.2m					
20.9m	166.9m					
20.9m	168.1m					
20.9m	170.8m					
20.9m	170.9m					
20.9m	167.9m					
20.9m	167.8m					
20.9m	169m					
20.9m	168.6m					
20.9m	167.6m					
20.9m	166.1m					
20.9m	163.2m					
20.9m	164.7m					
20.9m	167.3m					
20.9m	168.5m					
20.9m	170.5m					
21m	169.4m					
20.9m	168.9m					
20.9m	170.6m					
20.9m	171.2m					
20.9m	168.5m					
20.9m	168.3m					
20.9m	165.1m					
20.9m	165.3m					
20.9m	168.2m					
20.9m	168.4m					
20.9m	170.4m					
20.9m	169.5m					
21m	168.2m					
21m	168.6m					
20.9m	169.1m					
20.9m	167.1m					
21m	164.6m					
21m	163.9m					
20.9m	163.1m					
21m	165.8m					
20.9m	166.6m					
21m	168.2m					
21m	168.5m					
21m	168m					
21m	168.3m					
21m	170.8m					
21m	169.9m					
21m	165.7m					
21m	166.1m					
21m	168m					
21m	168.9m					
20.9m	172.6m					
