Current (mA) - Plot 0	Flow (GPM) - Plot 0	Current (mA) - Plot 1	Flow (GPM) - Plot 1	Current (mA) - Plot 2	Flow (GPM) - Plot 2	
4.8m	178.3m					
4.8m	177.7m					
4.8m	174.8m					
4.8m	174.8m					
4.8m	174.6m					
4.8m	175.7m					
4.8m	176.8m					
4.8m	177.8m					
4.8m	178.8m					
4.8m	178.9m					
4.9m	178.8m					
4.7m	178.2m					
4.8m	177.4m					
4.8m	175.2m					
4.8m	176.7m					
4.8m	177.8m					
4.8m	179.8m					
4.8m	181.1m					
4.8m	179.7m					
4.8m	179.7m					
4.8m	180m					
4.8m	178.1m					
4.8m	173.7m					
4.8m	174.2m					
4.8m	174.5m					
4.8m	176.1m					
4.8m	177m					
4.8m	176.8m					
4.8m	177m					
4.8m	177.6m					
4.8m	176.5m					
4.8m	174.3m					
4.8m	175.3m					
4.8m	175.8m					
4.8m	177.4m					
4.8m	178.2m					
4.8m	179.8m					
4.8m	179.2m					
4.8m	178.2m					
4.8m	177.4m					
4.8m	176.2m					
4.8m	174.3m					
4.8m	173.5m					
4.8m	174.2m					
4.8m	174.7m					
4.8m	177.6m					
4.8m	177.5m					
4.8m	177.3m					
4.8m	178m					
4.7m	179m					
4.8m	177.2m					
4.8m	175.1m					
4.8m	177.7m					
4.8m	178.6m					
4.8m	180.4m					
4.8m	180.2m					
4.8m	179m					
4.8m	179.3m					
4.8m	179.6m					
4.8m	175.5m					
4.8m	174.3m					
4.8m	174.7m					
4.8m	175.2m					
4.7m	177m					
4.8m	177.4m					
4.8m	179.2m					
4.8m	179.1m					
4.8m	179m					
4.8m	178m					
4.8m	177.3m					
4.8m	175.7m					
4.8m	175.7m					
4.8m	176.6m					
4.8m	177.2m					
4.8m	179m					
4.8m	177.6m					
4.8m	176.6m					
4.8m	176.7m					
4.8m	176.8m					
4.8m	173.1m					
4.8m	172.9m					
4.7m	175.3m					
4.8m	176.5m					
4.8m	179m					
4.8m	179.4m					
4.8m	179.6m					
4.7m	180m					
4.7m	180.2m					
4.8m	174.6m					
4.8m	174.6m					
4.7m	174.8m					
4.8m	175.8m					
4.8m	177.4m					
4.8m	177.4m					
4.8m	177.4m					
4.8m	177.8m					
4.8m	177.8m					
4.8m	174.5m					
4.8m	174.5m					
4.8m	175m					
4.7m	176.5m					
4.8m	178.4m					
4.8m	179.3m					
4.8m	180.4m					
4.8m	179.9m					
4.7m	179.8m					
4.8m	179.8m					
4.7m	179m					
4.8m	174.6m					
4.8m	175.5m					
4.8m	176.4m					
4.8m	177.9m					
4.8m	179.5m					
4.8m	178.3m					
4.7m	178.2m					
4.8m	179m					
4.8m	178.1m					
4.8m	174.1m					
4.8m	174.9m					
4.8m	175.6m					
4.8m	176.8m					
4.8m	177.8m					
4.8m	178.6m					
4.7m	178.6m					
4.8m	178.2m					
4.8m	177.2m					
4.8m	174.3m					
4.7m	174.5m					
4.8m	174.7m					
4.8m	175.3m					
4.8m	175.7m					
4.8m	177.9m					
4.7m	178m					
4.8m	177.1m					
4.8m	177.1m					
4.7m	177.3m					
4.8m	176.3m					
4.8m	174.2m					
4.7m	176m					
4.7m	177.1m					
4.8m	179.5m					
4.7m	179.6m					
4.8m	178.2m					
4.8m	178.7m					
4.8m	179.6m					
4.7m	176.7m					
4.8m	173.9m					
4.7m	175.2m					
4.8m	175.9m					
4.8m	178.4m					
4.7m	178.4m					
4.8m	179.2m					
4.7m	179.6m					
4.8m	180.2m					
4.8m	177.9m					
4.7m	177m					
4.7m	176.8m					
4.8m	176.9m					
4.8m	178.4m					
4.8m	178.5m					
4.7m	180.1m					
4.7m	178.9m					
4.7m	177.5m					
4.8m	176m					
4.7m	175.6m					
4.7m	172.7m					
4.8m	172m					
4.7m	173.1m					
4.7m	173.9m					
4.8m	176.7m					
4.8m	177.2m					
4.7m	177.8m					
4.7m	178.4m					
4.7m	179m					
4.7m	175.1m					
4.8m	174.3m					
4.7m	176.2m					
4.8m	177.2m					
4.8m	179.8m					
4.7m	179.8m					
4.8m	179.8m					
4.8m	180.5m					
4.7m	181.1m					
4.7m	176.4m					
4.7m	175.8m					
4.7m	175.4m					
4.7m	175.9m					
4.7m	177.8m					
4.7m	178.6m					
4.7m	179.2m					
4.7m	178.5m					
4.7m	178.1m					
4.7m	177.1m					
4.7m	177.1m					
4.7m	174.4m					
4.8m	174.8m					
4.7m	176.2m					
4.7m	178m					
4.7m	179.2m					
4.7m	178.6m					
4.8m	178.4m					
4.7m	179.6m					
4.7m	179.5m					
4.7m	174.5m					
4.7m	175.2m					
4.7m	176.4m					
4.7m	177.4m					
4.7m	177.9m					
4.7m	177.9m					
4.7m	177.9m					
4.7m	177.8m					
4.7m	177.6m					
4.7m	173.9m					
4.7m	174.4m					
4.7m	175.2m					
4.8m	175.7m					
4.7m	176.4m					
4.7m	178.6m					
4.7m	179.3m					
4.7m	178.6m					
4.7m	178.5m					
4.8m	178m					
4.7m	176.8m					
4.7m	175.4m					
4.7m	176.5m					
4.7m	177.9m					
4.7m	179.6m					
4.7m	179.7m					
4.7m	177.8m					
4.7m	177.9m					
4.7m	178.6m					
4.7m	175.5m					
4.7m	172.4m					
4.7m	173.6m					
4.7m	174.8m					
4.8m	177.4m					
4.7m	177.9m					
4.7m	178.4m					
4.7m	178.8m					
4.7m	180.6m					
4.7m	178.6m					
4.7m	176.8m					
4.7m	177.3m					
4.7m	177.8m					
4.7m	179.3m					
4.7m	180m					
4.7m	181.3m					
4.7m	180.9m					
4.7m	179.5m					
4.7m	177.6m					
4.7m	176.2m					
4.7m	174m					
4.7m	173.7m					
4.8m	174.9m					
4.7m	175.5m					
4.7m	177.1m					
4.7m	177m					
4.7m	176.9m					
4.7m	177.3m					
4.7m	177.6m					
4.7m	174.6m					
4.7m	172.9m					
4.7m	175.4m					
4.7m	175.4m					
4.7m	178.7m					
4.7m	178.8m					
4.7m	179m					
4.7m	180.2m					
4.7m	180.8m					
4.7m	177m					
4.7m	175.3m					
4.7m	176.6m					
4.7m	176.7m					
4.7m	179m					
4.7m	179.2m					
4.7m	179.6m					
4.7m	179.1m					
4.7m	179m					
4.6m	177.3m					
4.7m	176.5m					
4.7m	174.6m					
4.7m	174.7m					
4.7m	176m					
4.7m	177.7m					
4.7m	179.8m					
4.7m	179.2m					
4.7m	179.1m					
4.7m	180m					
4.7m	179.5m					
4.7m	175.5m					
4.7m	175.9m					
4.7m	178.1m					
4.7m	179m					
4.7m	180m					
4.7m	178.6m					
4.7m	178.4m					
4.7m	177.6m					
4.7m	176.3m					
4.7m	171.8m					
4.7m	172.1m					
4.7m	172.9m					
4.7m	173.9m					
4.7m	174.7m					
4.7m	176.3m					
4.7m	177.6m					
4.7m	178.1m					
4.7m	178m					
4.7m	177.5m					
4.7m	177.3m					
4.7m	176.9m					
4.8m	178.5m					
4.6m	179.6m					
4.6m	180.6m					
4.7m	181.2m					
4.6m	179.4m					
4.6m	179.8m					
4.6m	180.6m					
4.7m	178.5m					
4.7m	174.5m					
4.7m	175.7m					
4.7m	176.2m					
4.7m	178.3m					
4.7m	179.1m					
4.7m	178.4m					
4.7m	178.5m					
4.7m	178.8m					
4.7m	176.7m					
4.7m	174.1m					
4.7m	175.3m					
4.6m	175.6m					
4.7m	177.4m					
4.7m	178m					
4.7m	179.2m					
4.7m	179.3m					
4.7m	179.8m					
4.6m	178.3m					
4.7m	177m					
4.7m	175.5m					
4.7m	175.2m					
4.7m	176.3m					
4.7m	176.9m					
4.7m	178.6m					
4.7m	178.3m					
4.7m	177.4m					
4.7m	177.1m					
4.7m	177m					
4.7m	174.3m					
4.7m	172.6m					
4.7m	174.2m					
4.6m	174.3m					
4.6m	177.6m					
4.7m	178.1m					
4.7m	178.8m					
4.7m	180.3m					
4.6m	181.2m					
4.7m	178.1m					
4.6m	176.4m					
4.7m	178.4m					
4.6m	179.5m					
4.7m	181.5m					
4.7m	181.5m					
4.7m	181.4m					
4.7m	180.4m					
4.7m	179.8m					
4.7m	175.8m					
4.6m	175.6m					
4.7m	173.1m					
4.6m	173.5m					
4.7m	174.1m					
4.7m	175.3m					
4.7m	177.2m					
4.7m	177.2m					
4.7m	177.3m					
4.6m	178.2m					
4.7m	178.1m					
4.7m	175.4m					
4.7m	175.6m					
4.7m	176.8m					
4.7m	177m					
4.7m	177.4m					
4.7m	175.8m					
4.7m	175.4m					
4.6m	174.9m					
4.7m	174.5m					
4.7m	169.5m					
4.7m	169.6m					
4.6m	173.1m					
4.7m	173.9m					
4.7m	177.3m					
4.7m	178.3m					
4.7m	179.2m					
4.6m	180.8m					
4.7m	181m					
4.6m	178.3m					
4.6m	178.2m					
4.7m	179.1m					
4.7m	180.6m					
4.7m	181.7m					
4.6m	183.1m					
4.6m	183.3m					
4.6m	181.7m					
4.7m	181.7m					
4.7m	182m					
4.6m	178.9m					
4.7m	176.2m					
4.7m	177.3m					
4.7m	178m					
4.6m	180.8m					
4.7m	180.8m					
4.7m	179m					
4.7m	179m					
4.6m	179.2m					
4.7m	175.7m					
4.7m	174.1m					
4.6m	174.7m					
4.6m	175.1m					
4.6m	177m					
4.7m	177m					
4.6m	179m					
4.6m	179.2m					
4.6m	179.6m					
4.6m	177.1m					
4.7m	175.8m					
4.6m	174.5m					
4.6m	174.1m					
4.6m	174.6m					
4.7m	174.7m					
4.6m	175m					
4.7m	174.6m					
4.6m	174m					
4.7m	173.6m					
4.6m	173.2m					
4.7m	172.2m					
4.6m	171.1m					
4.7m	173m					
4.6m	173.5m					
4.6m	177.5m					
4.7m	178.5m					
4.6m	179.2m					
4.6m	180.8m					
4.6m	182.7m					
4.6m	178.7m					
4.6m	177.8m					
4.7m	180.4m					
4.7m	181.6m					
4.6m	184.4m					
4.7m	184.1m					
4.6m	183.9m					
4.6m	183.6m					
4.7m	183.6m					
4.7m	179.9m					
4.6m	179m					
4.6m	177.6m					
4.6m	177.6m					
4.6m	177.6m					
4.6m	178.9m					
4.6m	179.8m					
4.6m	177.7m					
4.6m	177.6m					
4.6m	177m					
4.6m	176m					
4.6m	173.9m					
4.6m	174.7m					
4.6m	176.4m					
4.6m	178.4m					
4.6m	179.4m					
4.6m	179.4m					
4.6m	179.4m					
4.6m	179.6m					
4.6m	176.7m					
4.7m	172m					
4.6m	172.3m					
4.6m	172.7m					
4.6m	173.1m					
4.6m	173.6m					
4.6m	174m					
4.6m	174.1m					
4.6m	175.4m					
4.6m	175.6m					
4.6m	173.7m					
4.6m	174.8m					
4.6m	176.2m					
4.6m	177.9m					
4.6m	179.9m					
4.6m	182m					
4.6m	182.6m					
4.6m	182.8m					
4.6m	182.8m					
4.6m	182.9m					
4.6m	180.6m					
4.6m	178.5m					
4.6m	179.6m					
4.6m	179.8m					
4.6m	182.1m					
4.6m	182.1m					
4.6m	180.6m					
4.6m	180.6m					
4.6m	180.7m					
4.6m	175.9m					
4.6m	174.9m					
4.6m	175.4m					
4.6m	175.7m					
4.6m	176.5m					
4.6m	176.8m					
4.6m	177.8m					
4.6m	178.4m					
4.6m	179m					
4.6m	176.7m					
4.6m	175m					
4.6m	176m					
4.6m	176.5m					
4.6m	177.9m					
4.6m	178m					
4.6m	178.3m					
4.6m	176.9m					
4.6m	176.1m					
4.6m	174.7m					
4.6m	173.9m					
4.6m	170.1m					
4.6m	170m					
4.6m	172.2m					
4.7m	172.3m					
4.6m	177.4m					
4.6m	177.8m					
4.6m	178.5m					
4.6m	180.2m					
4.6m	180.9m					
4.6m	177m					
4.6m	176m					
4.6m	179.3m					
4.6m	180.8m					
4.6m	183.1m					
4.6m	183.1m					
4.6m	183.1m					
4.6m	183.7m					
4.6m	183.5m					
4.6m	179.7m					
4.6m	179m					
4.6m	178.1m					
4.6m	178.6m					
4.6m	179.2m					
4.6m	180.6m					
4.6m	180.7m					
4.6m	178.6m					
4.6m	178.4m					
4.6m	177.2m					
4.5m	175.6m					
4.6m	173.9m					
4.6m	174.5m					
4.6m	175.2m					
4.6m	177.5m					
4.6m	178.1m					
4.6m	178.8m					
4.6m	179m					
4.6m	180.4m					
4.6m	177.9m					
4.6m	175.2m					
4.6m	176.8m					
4.6m	178.4m					
4.6m	180.2m					
4.6m	180.7m					
4.6m	181.1m					
4.6m	180.7m					
4.6m	180.3m					
4.5m	178.5m					
4.6m	177m					
