Current (mA) - Plot 0	Pressure (psi) - Plot 0	Current (mA) - Plot 1	Pressure (psi) - Plot 1	Current (mA) - Plot 2	Pressure (psi) - Plot 2	
4.5m	3k					
4.5m	3k					
4.5m	3k					
4.5m	3k					
4.4m	3k					
4.5m	3k					
4.5m	3k					
4.5m	3k					
4.5m	3k					
4.5m	3k					
4.5m	3k					
4.5m	3k					
4.5m	3k					
4.4m	3k					
4.5m	3k					
4.5m	3k					
4.5m	3k					
4.4m	3k					
4.5m	3k					
4.4m	3k					
4.5m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.5m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.3m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.4m	3k					
4.3m	3k					
4.4m	3k					
4.3m	3k					
4.4m	3k					
4.3m	3k					
4.4m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.2m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.2m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.3m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.1m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.2m	3k					
4.1m	3k					
4.2m	3k					
4.2m	3k					
4.1m	3k					
4.2m	3k					
4.1m	3k					
4.1m	3k					
4.2m	3k					
4.1m	3k					
4.1m	3k					
4.2m	3k					
4.1m	3k					
4.2m	3k					
4.2m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.2m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4m	3k					
4.1m	3k					
4.1m	3k					
4.2m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4m	3k					
4.1m	3k					
4.1m	3k					
4m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4.1m	3k					
4m	3k					
4.1m	3k					
4m	3k					
4.1m	3k					
4m	3k					
4.1m	3k					
4m	3k					
4m	3k					
4m	3k					
4.1m	3k					
4m	3k					
4m	3k					
4m	3k					
4.1m	3k					
4.1m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
3.9m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
3.9m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
4m	3k					
3.9m	3k					
4m	3k					
3.9m	3k					
4m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
4m	3k					
3.9m	3k					
3.9m	3k					
4m	3k					
3.9m	3k					
4m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.8m	3k					
3.9m	3k					
3.8m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.8m	3k					
3.9m	3k					
3.8m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.9m	3k					
3.8m	3k					
3.9m	3k					
3.8m	3k					
3.9m	3k					
3.9m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.9m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.9m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.9m	3k					
3.8m	3k					
3.9m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.7m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.7m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.8m	3k					
3.7m	3k					
3.8m	3k					
3.7m	3k					
3.8m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.8m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.6m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.6m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.7m	3k					
3.6m	3k					
3.7m	3k					
3.6m	3k					
3.7m	3k					
3.6m	3k					
3.6m	3k					
3.7m	3k					
3.7m	3k					
3.6m	3k					
3.7m	3k					
3.6m	3k					
3.7m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.7m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.7m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.6m	3k					
3.5m	3k					
3.6m	3k					
3.6m	3k					
3.5m	3k					
3.6m	3k					
3.5m	3k					
3.6m	3k					
3.5m	3k					
3.6m	3k					
3.5m	3k					
3.6m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.6m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.6m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.6m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.6m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.4m	3k					
3.5m	3k					
3.4m	3k					
3.4m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.5m	3k					
3.4m	3k					
3.5m	3k					
3.4m	3k					
3.4m	3k					
3.5m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.5m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.3m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.4m	3k					
3.4m	3k					
3.4m	3k					
3.3m	3k					
3.4m	3k					
3.3m	3k					
3.4m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.4m	3k					
3.3m	3k					
3.3m	3k					
3.2m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.3m	3k					
3.2m	3k					
3.3m	3k					
3.3m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.3m	3k					
3.3m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.3m	3k					
3.2m	3k					
3.2m	3k					
3.1m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.2m	3k					
3.2m	3k					
3.1m	3k					
3.2m	3k					
3.1m	3k					
3.2m	3k					
3.2m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.2m	3k					
3.1m	3k					
3.2m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.2m	3k					
3.2m	3k					
3.2m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.2m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3m	3k					
3m	3k					
3.1m	3k					
3m	3k					
3.1m	3k					
3.1m	3k					
3m	3k					
3.1m	3k					
3m	3k					
3.1m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
3.1m	3k					
3m	3k					
3m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3.1m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
2.9m	3k					
3m	3k					
3m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
3m	3k					
2.9m	3k					
3m	3k					
2.9m	3k					
3m	3k					
3m	3k					
3m	3k					
2.9m	3k					
3m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.8m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.9m	3k					
2.8m	3k					
2.9m	3k					
2.8m	3k					
2.9m	3k					
2.8m	3k					
2.9m	3k					
2.8m	3k					
2.9m	3k					
2.8m	3k					
2.9m	3k					
2.8m	3k					
2.9m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.9m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.7m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.7m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.8m	3k					
2.7m	3k					
2.8m	3k					
2.8m	3k					
2.7m	3k					
2.8m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.8m	3k					
2.8m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.8m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.6m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.7m	3k					
2.6m	3k					
2.7m	3k					
2.6m	3k					
2.7m	3k					
2.6m	3k					
2.7m	3k					
2.6m	3k					
2.6m	3k					
2.7m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.7m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.5m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.5m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.6m	3k					
2.5m	3k					
2.6m	3k					
2.5m	3k					
2.6m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.6m	3k					
2.5m	3k					
2.6m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.5m	3k					
2.4m	3k					
2.5m	3k					
2.5m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.5m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.5m	3k					
2.4m	3k					
2.5m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.4m	3k					
2.3m	3k					
2.4m	3k					
2.3m	3k					
2.4m	3k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.4m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.4m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.2m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.3m	2.9k					
2.2m	2.9k					
2.3m	2.9k					
2.2m	2.9k					
2.3m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.3m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.3m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.2m	2.9k					
2.2m	2.9k					
2.1m	2.9k					
2.2m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.2m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2.1m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
1.9m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
1.9m	2.9k					
2m	2.9k					
1.9m	2.9k					
2m	2.9k					
2m	2.9k					
1.9m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
2m	2.9k					
1.9m	2.9k					
2m	2.9k					
1.9m	2.9k					
2m	2.9k					
1.9m	2.9k					
2m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
2m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
2m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.8m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.8m	2.9k					
1.9m	2.9k					
1.9m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.9m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.9m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.9m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.7m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.8m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.8m	2.9k					
1.7m	2.9k					
1.8m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.8m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.6m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.6m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.6m	2.9k					
1.7m	2.9k					
1.7m	2.9k					
1.6m	2.9k					
1.7m	2.9k					
1.6m	2.9k					
1.7m	2.9k					
1.6m	2.9k					
1.7m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.7m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.7m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.6m	2.9k					
1.5m	2.9k					
1.5m	2.9k					
1.6m	2.9k					
1.5m	2.9k					
1.6m	2.9k					
1.5m	2.9k					
1.5m	2.9k					
1.5m	2.9k					
1.5m	2.9k					
1.5m	2.9k					
1.5m	2.9k					
1.5m	2.9k					
1.5m	2.9k					
