Current (mA) - Plot 0	Flow (GPM) - Plot 0	Current (mA) - Plot 1	Flow (GPM) - Plot 1	Current (mA) - Plot 2	Flow (GPM) - Plot 2	
3.3m	184.9m					
3.3m	187.6m					
3.3m	188.2m					
3.3m	188.2m					
3.3m	188.2m					
3.3m	188.2m					
3.3m	188.1m					
3.3m	188m					
3.3m	183.4m					
3.3m	183m					
3.3m	184.5m					
3.3m	185.8m					
3.3m	186.9m					
3.3m	186.7m					
3.2m	187.1m					
3.2m	188.6m					
3.3m	187.3m					
3.2m	186.4m					
3.3m	186.1m					
3.3m	185.8m					
3.3m	187.9m					
3.3m	188.6m					
3.2m	190.3m					
3.2m	189.2m					
3.2m	188.5m					
3.2m	189.8m					
3.2m	188.3m					
3.2m	185m					
3.2m	185.6m					
3.2m	185.9m					
3.2m	188.7m					
3.2m	189.4m					
3.2m	190.8m					
3.2m	190.1m					
3.2m	189.1m					
3.2m	189.1m					
3.2m	188.9m					
3.1m	184.3m					
3.2m	184.8m					
3.2m	185.6m					
3.1m	186.4m					
3.2m	186.7m					
3.2m	187.1m					
3.1m	186.9m					
3.1m	186.5m					
3.2m	185.4m					
3.1m	184.5m					
3.1m	182.7m					
3.1m	182.4m					
3.1m	183.7m					
3.1m	185.6m					
3.1m	187.8m					
3.1m	187.8m					
3.1m	188.3m					
3.1m	190.7m					
3m	189.7m					
3.1m	188.7m					
3.1m	189.3m					
3.1m	189.4m					
3.1m	190.6m					
3.1m	191.3m					
3m	191.9m					
3m	190.7m					
3.1m	190m					
3.1m	190.7m					
3.1m	189.7m					
3m	186.3m					
3m	186.9m					
3m	187.4m					
3m	189.7m					
3m	190.5m					
3m	192m					
3m	191.3m					
3m	190.8m					
3m	191.6m					
3m	189.8m					
3m	186.3m					
3m	187.8m					
3m	188.6m					
3m	190.7m					
3m	190.6m					
3m	190.4m					
3m	189.9m					
3m	189.7m					
3m	189.3m					
3m	188.5m					
2.9m	183.7m					
3m	185.2m					
3m	186.9m					
3m	189.4m					
3m	190.1m					
2.9m	190.7m					
2.9m	190.7m					
2.9m	190.7m					
3m	190m					
2.9m	189.2m					
2.9m	186.7m					
2.9m	188m					
2.9m	189m					
2.9m	191.5m					
2.9m	191.7m					
2.9m	191.6m					
2.9m	192.9m					
2.9m	193.7m					
2.9m	191.4m					
2.9m	190.9m					
2.9m	189.8m					
2.9m	190.4m					
2.9m	190.7m					
2.9m	192.5m					
2.9m	192.2m					
2.8m	191.2m					
2.8m	192.4m					
2.8m	193m					
2.8m	189.4m					
2.9m	189.1m					
2.8m	187.6m					
2.8m	188.2m					
2.8m	189.6m					
2.8m	190.8m					
2.8m	191.4m					
2.9m	189.3m					
2.8m	190.3m					
2.8m	192.2m					
2.8m	189.4m					
2.8m	188.1m					
2.8m	189.5m					
2.8m	190.8m					
2.8m	193.2m					
2.8m	193.4m					
2.8m	193.4m					
2.7m	191.6m					
2.8m	191.8m					
2.8m	192m					
2.8m	188.5m					
2.8m	187.6m					
2.7m	189.5m					
2.7m	191.1m					
2.7m	193m					
2.8m	194.2m					
2.7m	194.3m					
2.8m	193.3m					
2.7m	193.8m					
2.7m	194.3m					
2.7m	190.2m					
2.7m	189.6m					
2.7m	191.6m					
2.7m	193.3m					
2.7m	195.1m					
2.7m	195.9m					
2.7m	195.2m					
2.6m	194.3m					
2.7m	194.4m					
2.7m	193.5m					
2.7m	188.9m					
2.7m	189.2m					
2.6m	190.5m					
2.7m	193.5m					
2.7m	194m					
2.7m	194.2m					
2.7m	193.3m					
2.7m	192.7m					
2.7m	192.6m					
2.6m	192m					
2.6m	187.4m					
2.6m	188m					
2.6m	189.8m					
2.7m	192.9m					
2.6m	194.7m					
2.6m	194.7m					
2.6m	194.8m					
2.6m	194.8m					
2.6m	194.8m					
2.6m	193.2m					
2.6m	190.3m					
2.5m	192.1m					
2.6m	193.2m					
2.6m	197m					
2.6m	196.8m					
2.6m	196.6m					
2.6m	196.4m					
2.6m	196.3m					
2.6m	195.8m					
2.6m	192.9m					
2.6m	190m					
2.6m	191.4m					
2.6m	192.3m					
2.6m	195.1m					
2.6m	195.5m					
2.5m	195.9m					
2.5m	196.3m					
2.5m	196.5m					
2.5m	196.9m					
2.5m	194.1m					
2.5m	192.3m					
2.6m	194.5m					
2.5m	195.7m					
2.5m	198.6m					
2.5m	198.6m					
2.5m	198m					
2.5m	196.5m					
2.5m	195.6m					
2.5m	195.1m					
2.5m	189.6m					
2.5m	190m					
2.5m	190.8m					
2.5m	194.3m					
2.5m	195.8m					
2.5m	195.9m					
2.5m	196.4m					
2.5m	197.1m					
2.5m	196.7m					
2.4m	196.1m					
2.4m	192.6m					
2.5m	193.8m					
2.5m	195.2m					
2.4m	198.7m					
2.5m	199.6m					
2.5m	199.6m					
2.4m	199.2m					
2.4m	199m					
2.4m	198.5m					
2.4m	195.3m					
2.4m	192.6m					
2.4m	194.4m					
2.4m	195.5m					
2.4m	198.3m					
2.3m	198.6m					
2.4m	198.8m					
2.4m	198.3m					
2.4m	198.3m					
2.4m	198.3m					
2.4m	195.3m					
2.4m	193.5m					
2.3m	195.8m					
2.4m	198.7m					
2.4m	200.3m					
2.4m	200.6m					
2.4m	199.9m					
2.3m	198.6m					
2.3m	198.6m					
2.4m	198.4m					
2.3m	193m					
2.3m	194.1m					
2.4m	196m					
2.3m	200.3m					
2.4m	200.4m					
2.3m	200.6m					
2.4m	199.7m					
2.3m	199.4m					
2.3m	199.1m					
2.3m	196.9m					
2.3m	194m					
2.3m	195.8m					
2.3m	197.6m					
2.3m	199.3m					
2.3m	200.3m					
2.3m	200.3m					
2.3m	198.7m					
2.3m	199.6m					
2.3m	200.5m					
2.3m	197m					
2.3m	197m					
2.3m	199.7m					
2.3m	202.5m					
2.2m	203.3m					
2.3m	204.5m					
2.2m	203.3m					
2.2m	202.6m					
2.2m	203.7m					
2.3m	200.9m					
2.2m	198.8m					
2.2m	198.5m					
2.2m	198.9m					
2.2m	200m					
2.2m	200.5m					
2.2m	200.8m					
2.2m	198.6m					
2.2m	200.3m					
2.2m	201.3m					
2.2m	198.1m					
2.2m	197.7m					
2.2m	197m					
2.2m	198.5m					
2.2m	199.3m					
2.2m	201.6m					
2.2m	201.8m					
2.2m	202m					
2.2m	203.4m					
2.2m	202.6m					
2.2m	201.5m					
2.1m	199.7m					
2.1m	199.3m					
2.2m	200.7m					
2.1m	202.9m					
2.1m	203.6m					
2.1m	203.5m					
2.1m	204.1m					
2.1m	204.5m					
2.1m	203.4m					
2.1m	201.1m					
2.1m	198.6m					
2.2m	200.5m					
2.1m	201.7m					
2.1m	205.1m					
2.1m	205.9m					
2.1m	205.8m					
2.1m	205m					
2.2m	205m					
2.1m	204.7m					
2.1m	200.1m					
2.1m	201.7m					
2.1m	203m					
2.1m	205m					
2.1m	205.1m					
2.1m	205.1m					
2m	203.5m					
2m	203.7m					
2m	204.5m					
2m	201.5m					
2m	200.1m					
2.1m	201.3m					
2.1m	201.3m					
2m	201.4m					
2m	203.7m					
2m	203.4m					
2m	202.9m					
2m	205m					
2m	205.1m					
2m	204.2m					
2m	204m					
2m	204m					
2m	205m					
2m	207.8m					
2m	208.9m					
2m	209.8m					
2m	209.5m					
2m	209m					
2m	207.5m					
2m	204.5m					
2m	201.5m					
1.9m	203.3m					
2m	205.2m					
1.9m	206.7m					
2m	208.1m					
2m	207.5m					
2m	206.3m					
1.9m	207.5m					
1.9m	206.9m					
1.9m	204.5m					
1.9m	206m					
1.9m	206.2m					
1.9m	206.2m					
1.9m	207.2m					
1.9m	207.5m					
1.9m	206.4m					
1.9m	207.5m					
1.9m	208.1m					
1.9m	207.4m					
1.9m	204.5m					
1.9m	203m					
1.9m	204.5m					
1.9m	205.9m					
1.9m	208.5m					
1.9m	210.3m					
1.9m	210.2m					
1.8m	210.1m					
1.9m	210.4m					
1.8m	208.2m					
1.8m	204.7m					
1.8m	206.7m					
1.8m	208.6m					
1.8m	210.5m					
1.8m	210.9m					
1.8m	210.2m					
1.8m	209m					
1.8m	210.7m					
1.8m	210.9m					
1.8m	208.2m					
1.8m	207.5m					
1.8m	207.7m					
1.8m	209.6m					
1.8m	212.1m					
1.8m	212.8m					
1.8m	213.8m					
1.7m	214.4m					
1.7m	214.1m					
1.8m	212.8m					
1.8m	207.5m					
1.8m	205.6m					
1.8m	206.5m					
1.8m	206.9m					
1.8m	207.1m					
1.7m	206.6m					
1.7m	206m					
1.7m	205.6m					
1.7m	207.3m					
1.7m	207m					
1.8m	206m					
1.7m	209.3m					
1.7m	210.4m					
1.7m	212.5m					
1.7m	216.1m					
1.7m	217m					
1.7m	218.4m					
1.7m	219.4m					
1.7m	217.9m					
1.7m	216.9m					
1.7m	211.5m					
1.7m	212.9m					
1.7m	213.7m					
1.7m	215.9m					
1.7m	215.8m					
1.7m	215.4m					
1.7m	213m					
1.7m	214.5m					
1.6m	214.5m					
1.6m	213.2m					
1.6m	212m					
1.6m	211.8m					
1.6m	211.9m					
1.6m	215.5m					
1.7m	216.2m					
1.7m	216.9m					
1.6m	214.1m					
1.6m	213.4m					
1.6m	212.1m					
1.6m	207m					
1.6m	204.8m					
1.6m	205.5m					
1.6m	207.8m					
1.6m	209m					
1.6m	210.7m					
1.6m	211m					
1.6m	212.8m					
1.5m	215.8m					
1.6m	215.7m					
1.5m	215.6m					
1.6m	215.6m					
1.6m	217.6m					
1.6m	220.2m					
1.5m	222.9m					
1.6m	224.5m					
1.6m	223.9m					
1.5m	223.2m					
1.5m	223.2m					
1.5m	220.2m					
1.5m	219.6m					
1.5m	220m					
1.5m	219.5m					
1.5m	219.8m					
1.5m	221.5m					
1.5m	222.9m					
1.5m	222.2m					
1.5m	221.5m					
1.5m	219.8m					
1.5m	216.8m					
1.5m	214.9m					
1.5m	217.3m					
1.5m	217.1m					
1.5m	217.1m					
1.5m	217.4m					
1.5m	215.7m					
1.5m	214.9m					
1.4m	215.1m					
1.5m	213.6m					
1.5m	211.6m					
1.5m	207.3m					
1.5m	209.9m					
1.4m	213.6m					
1.4m	218m					
1.4m	221.3m					
1.4m	222.5m					
1.4m	223m					
1.5m	226.9m					
1.4m	226.2m					
1.4m	225.4m					
1.4m	224.8m					
1.4m	224.8m					
1.4m	226.6m					
1.4m	228.3m					
1.4m	228.8m					
1.4m	226.9m					
1.4m	225.4m					
1.4m	225.6m					
1.4m	224.2m					
1.4m	222.8m					
1.4m	221.8m					
1.4m	221.3m					
1.4m	222.1m					
1.4m	224.3m					
1.4m	226.4m					
1.4m	224.7m					
1.3m	223.7m					
1.3m	223.5m					
1.3m	222.3m					
1.3m	221.8m					
1.3m	222.1m					
1.4m	220.6m					
1.3m	221.5m					
1.3m	223m					
1.3m	222.4m					
1.3m	221.3m					
1.3m	220.8m					
1.3m	220m					
1.3m	217.6m					
1.3m	217.7m					
1.3m	222.4m					
1.3m	224.9m					
1.3m	226.7m					
1.3m	228.4m					
1.3m	230.2m					
1.3m	232.6m					
1.3m	232.8m					
1.3m	231.8m					
1.3m	227.5m					
1.3m	229.1m					
1.2m	230.2m					
1.3m	229.5m					
1.3m	231.1m					
1.2m	231.9m					
1.2m	233.4m					
1.2m	232m					
1.2m	231m					
1.2m	229.3m					
1.2m	227.3m					
1.2m	228.7m					
1.2m	227.8m					
1.2m	226.8m					
1.2m	229.3m					
1.2m	230.1m					
1.2m	229.4m					
1.2m	228.1m					
1.2m	227.7m					
1.2m	224.8m					
1.2m	222m					
1.2m	222.7m					
1.2m	222.3m					
1.2m	222.9m					
1.2m	225.9m					
1.1m	229.2m					
1.2m	231.5m					
1.2m	233.1m					
1.1m	233.9m					
1.1m	231.7m					
1.1m	234m					
1.1m	235.6m					
1.1m	235.1m					
1.1m	237.5m					
1.1m	239.3m					
1.2m	240.1m					
1.1m	236.6m					
1.1m	236.8m					
1.1m	236.6m					
1.1m	235.4m					
1m	232.2m					
1.1m	231.9m					
1.1m	233.8m					
1.1m	237.4m					
1.1m	237m					
1.1m	234.2m					
1.1m	234.6m					
1.1m	236.7m					
1.1m	235.3m					
1.1m	232.5m					
1.1m	229.8m					
1.1m	233.7m					
1.1m	236.6m					
1.1m	237.4m					
1m	237.3m					
1.1m	236.3m					
1m	239.2m					
1.1m	239m					
1m	237.4m					
1.1m	234.2m					
1m	237.8m					
991.4u	238.1m					
1m	238.7m					
988.2u	240.2m					
1m	242.4m					
1m	241.7m					
991.4u	241.1m					
991.4u	240.5m					
988.2u	238.1m					
971.8u	237.5m					
975u	236.6m					
984.9u	236.1m					
988.2u	239.8m					
1m	241.2m					
958.6u	241.3m					
939u	239.5m					
975u	242.8m					
955.4u	241.8m					
916u	239.8m					
955.4u	235.6m					
939u	238.6m					
909.5u	240.7m					
932.4u	242.5m					
932.4u	242.7m					
929.1u	242.4m					
929.1u	244.2m					
912.7u	243.5m					
909.5u	241.9m					
909.5u	239.3m					
902.9u	242.5m					
906.2u	242.8m					
919.3u	244m					
863.5u	246.8m					
873.4u	249.1m					
857u	247.4m					
863.5u	247.7m					
863.5u	249.6m					
896.3u	249.3m					
853.7u	244.6m					
827.5u	244.8m					
866.8u	247.3m					
837.3u	248.9m					
857u	248.7m					
853.7u	249.5m					
843.9u	249m					
840.6u	248.2m					
830.7u	247.5m					
824.2u	245.4m					
830.7u	244m					
830.7u	243.1m					
843.9u	242.8m					
817.6u	248.2m					
771.7u	248.5m					
765.1u	248m					
778.3u	247m					
788.1u	251.3m					
771.7u	250.3m					
834u	246.3m					
791.4u	246.5m					
771.7u	250.4m					
784.8u	250.1m					
778.3u	252.6m					
778.3u	254.5m					
781.5u	255.2m					
765.1u	252.7m					
