Current (mA) - Plot 0	Flow (GPM) - Plot 0	Current (mA) - Plot 1	Flow (GPM) - Plot 1	Current (mA) - Plot 2	Flow (GPM) - Plot 2	
23.9m	-2.4					
23.9m	-2.4					
23.9m	-2.4					
23.8m	-2.4					
23.9m	-2.4					
23.9m	-2.4					
23.8m	-2.4					
23.9m	-2.4					
23.9m	-2.4					
23.9m	-2.4					
23.8m	-2.4					
23.9m	-2.4					
23.9m	-2.4					
23.8m	-2.4					
23.9m	-2.4					
23.9m	-2.4					
23.9m	-2.4					
23.9m	-2.4					
23.9m	-2.4					
23.9m	-2.4					
23.9m	-2.4					
23.8m	-2.4					
23.9m	-2.4					
23.9m	-2.4					
23.9m	-2.4					
23.9m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.9m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.9m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.9m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.7m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.7m	-2.4					
23.8m	-2.4					
23.8m	-2.4					
23.7m	-2.4					
23.8m	-2.4					
23.7m	-2.4					
23.8m	-2.4					
23.7m	-2.4					
23.8m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.8m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.8m	-2.4					
