Current (mA) - Plot 0	Flow (GPM) - Plot 0	Current (mA) - Plot 1	Flow (GPM) - Plot 1	Current (mA) - Plot 2	Flow (GPM) - Plot 2	
-6.5m	813m					
-6.5m	813.1m					
-6.5m	812.8m					
-6.5m	809.1m					
-6.5m	809m					
-6.5m	809.2m					
-6.5m	809m					
-6.5m	809.1m					
-6.5m	809.2m					
-6.5m	809.1m					
-6.5m	809m					
-6.5m	809.2m					
-6.5m	812.2m					
-6.5m	817.1m					
-6.5m	817.1m					
-6.5m	817.1m					
-6.5m	817.1m					
-6.5m	817.2m					
-6.5m	817.1m					
-6.5m	817.1m					
-6.5m	817.1m					
-6.5m	817m					
-6.5m	816.8m					
-6.5m	816.4m					
-6.5m	816.4m					
-6.6m	816.6m					
-6.5m	816.4m					
-6.6m	816.4m					
-6.5m	816.6m					
-6.5m	816.4m					
-6.5m	816.4m					
-6.6m	816.6m					
-6.5m	820.7m					
-6.6m	821m					
-6.5m	821.2m					
-6.5m	821.1m					
-6.6m	821m					
-6.5m	821.2m					
-6.6m	821m					
-6.5m	821.1m					
-6.6m	821.3m					
-6.5m	823.4m					
-6.6m	825.6m					
-6.6m	825.9m					
-6.6m	825.7m					
-6.6m	825.7m					
-6.6m	825.8m					
-6.6m	825.7m					
-6.5m	825.7m					
-6.6m	825.9m					
-6.6m	825.7m					
-6.6m	828.8m					
-6.6m	829.9m					
-6.6m	829.7m					
-6.6m	829.6m					
-6.6m	829.8m					
-6.6m	829.8m					
-6.6m	829.7m					
-6.6m	829.8m					
-6.6m	829.6m					
-6.6m	829.7m					
-6.6m	829.9m					
-6.7m	829.7m					
-6.7m	829.7m					
-6.6m	829.9m					
-6.6m	829.7m					
-6.6m	829.7m					
-6.6m	829.9m					
-6.6m	829.7m					
-6.6m	829.7m					
-6.6m	832.5m					
-6.6m	833.7m					
-6.6m	833.7m					
-6.6m	833.9m					
-6.6m	833.6m					
-6.6m	833.7m					
-6.7m	833.8m					
-6.6m	833.7m					
-6.7m	833.7m					
-6.6m	834.2m					
-6.7m	835m					
-6.7m	835m					
-6.7m	835.1m					
-6.6m	835.1m					
-6.6m	835.1m					
-6.6m	835.2m					
-6.7m	835m					
-6.7m	835.1m					
-6.6m	835.2m					
-6.7m	835.8m					
-6.6m	836.5m					
-6.7m	836.6m					
-6.6m	836.4m					
-6.7m	836.5m					
-6.7m	836.5m					
-6.7m	836.5m					
-6.7m	836.6m					
-6.7m	836.5m					
-6.7m	836.5m					
-6.7m	837.2m					
-6.7m	837.1m					
-6.6m	837.1m					
-6.6m	837.1m					
-6.7m	837.2m					
-6.7m	837.1m					
-6.7m	837.2m					
-6.7m	837.1m					
-6.7m	837m					
-6.7m	837.7m					
-6.7m	837.7m					
-6.7m	837.8m					
-6.7m	837.9m					
-6.7m	837.8m					
-6.7m	837.7m					
-6.7m	837.9m					
-6.7m	837.7m					
-6.7m	837.8m					
-6.7m	837.9m					
-6.7m	837.1m					
-6.7m	837.1m					
-6.7m	837.3m					
-6.7m	837m					
-6.8m	837.1m					
-6.7m	837.2m					
-6.7m	837.1m					
-6.7m	837.2m					
-6.7m	837.3m					
-6.8m	840.5m					
-6.7m	842.5m					
-6.8m	842.7m					
-6.7m	842.5m					
-6.8m	842.4m					
-6.7m	842.5m					
-6.8m	842.4m					
-6.7m	842.4m					
-6.7m	842.6m					
-6.7m	840.6m					
-6.7m	835.1m					
-6.8m	835.3m					
-6.7m	835.1m					
-6.8m	835.2m					
-6.8m	835.3m					
-6.8m	835.1m					
-6.7m	835.1m					
-6.8m	835.3m					
-6.8m	835.1m					
-6.8m	846m					
-6.8m	847.9m					
-6.8m	847.8m					
-6.8m	847.7m					
-6.8m	847.9m					
-6.8m	847.8m					
-6.8m	847.7m					
-6.8m	847.9m					
-6.8m	847.7m					
-6.8m	848.7m					
-6.8m	849.8m					
-6.8m	849.7m					
-6.8m	849.8m					
-6.8m	849.8m					
-6.8m	849.6m					
-6.8m	849.7m					
-6.8m	849.8m					
-6.8m	849.7m					
-6.8m	849.9m					
-6.8m	850.5m					
-6.8m	850.4m					
-6.8m	850.6m					
-6.8m	850.5m					
-6.8m	850.4m					
-6.8m	850.5m					
-6.8m	850.4m					
-6.8m	850.4m					
-6.8m	850.6m					
-6.9m	852.9m					
-6.8m	853.8m					
-6.8m	853.8m					
-6.8m	853.7m					
-6.9m	853.7m					
-6.8m	853.8m					
-6.8m	853.7m					
-6.8m	853.7m					
-6.9m	853.9m					
-6.8m	858.2m					
-6.9m	860.4m					
-6.8m	860.6m					
-6.9m	860.4m					
-6.8m	860.3m					
-6.9m	860.5m					
-6.9m	860.3m					
-6.8m	860.4m					
-6.9m	860.6m					
-6.9m	859.9m					
-6.9m	858.5m					
-6.9m	858.5m					
-6.9m	858.4m					
-6.9m	858.3m					
-6.9m	858.6m					
-6.8m	858.4m					
-6.9m	858.4m					
-6.9m	858.6m					
-6.9m	858.4m					
-6.9m	860.9m					
-6.9m	861.2m					
-6.9m	861m					
-6.9m	861.1m					
-6.9m	861.2m					
-6.9m	861m					
-6.9m	861m					
-6.9m	861.2m					
-6.9m	861m					
-6.9m	858.2m					
-6.9m	857.8m					
-6.9m	857.6m					
-6.9m	857.8m					
-6.9m	857.8m					
-6.9m	857.7m					
-6.9m	857.7m					
-6.9m	857.9m					
-6.9m	857.7m					
-6.9m	859.1m					
-6.9m	860.6m					
-6.9m	860.4m					
-6.9m	860.4m					
-6.9m	860.5m					
-6.9m	860.4m					
-6.9m	860.5m					
-6.9m	860.5m					
-6.9m	860.4m					
-6.9m	862.4m					
-6.9m	865.2m					
-7m	865.1m					
-6.9m	865.1m					
-7m	865.1m					
-6.9m	865m					
-7m	865.1m					
-7m	865m					
-7m	865.1m					
-7m	865.3m					
-6.9m	866.4m					
-7m	866.4m					
-7m	866.6m					
-7m	866.4m					
-7m	866.4m					
-7m	866.6m					
-7m	866.4m					
-7m	866.4m					
-7m	866.6m					
-7m	866.4m					
-7m	866.5m					
-7m	866.6m					
-7m	866.4m					
-7m	866.4m					
-7m	866.6m					
-7.1m	866.5m					
-7m	866.4m					
-7m	866.6m					
-7m	872.6m					
-7m	873.1m					
-7m	873.2m					
-7m	873.1m					
-7m	873m					
-7m	873.3m					
-7m	873.1m					
-7m	873.1m					
-7m	873.4m					
-7m	869.6m					
-7m	869.1m					
-7m	869.2m					
-7m	869.1m					
-7m	869.2m					
-7m	869.3m					
-7.1m	869.1m					
-7m	869.1m					
-7m	869.2m					
-7m	876m					
-7m	877.7m					
-7m	877.9m					
-7m	877.8m					
-7m	877.7m					
-7m	877.9m					
-7m	877.7m					
-7.1m	877.7m					
-7m	877.8m					
-7m	875m					
-7m	871.7m					
-7m	871.8m					
-7m	871.7m					
-7.1m	871.8m					
-7m	872m					
-7.1m	871.7m					
-7.1m	871.8m					
-7m	871.8m					
-7.1m	873.3m					
-7.1m	875.8m					
-7.1m	876m					
-7.1m	875.8m					
-7.1m	875.8m					
-7.1m	875.9m					
-7.1m	875.8m					
-7.1m	875.9m					
-7.1m	875.8m					
-7.1m	877.9m					
-7.1m	882.6m					
-7.1m	882.5m					
-7.1m	882.4m					
-7.1m	882.5m					
-7.1m	882.5m					
-7.1m	882.4m					
-7.1m	882.5m					
-7.1m	882.4m					
-7.1m	883.2m					
-7.1m	883.9m					
-7.1m	883.8m					
-7.1m	883.7m					
-7.1m	883.8m					
-7.1m	883.7m					
-7.1m	883.7m					
-7.1m	883.9m					
-7.1m	883.7m					
-7.1m	884.4m					
-7.1m	885.3m					
-7.1m	885.1m					
-7.1m	885.1m					
-7.1m	885.2m					
-7.1m	885.1m					
-7.1m	885m					
-7.1m	885.2m					
-7.1m	885m					
-7.2m	886.7m					
-7.1m	888.6m					
-7.2m	888.4m					
-7.1m	888.4m					
-7.1m	888.5m					
-7.1m	888.4m					
-7.1m	888.4m					
-7.1m	888.5m					
-7.2m	888.3m					
-7.2m	887.6m					
-7.1m	886.6m					
-7.2m	886.4m					
-7.2m	886.4m					
-7.2m	886.6m					
-7.2m	886.4m					
-7.2m	886.5m					
-7.2m	886.6m					
-7.2m	886.4m					
-7.2m	886m					
-7.1m	885.9m					
-7.1m	885.6m					
-7.2m	885.7m					
-7.2m	885.8m					
-7.2m	885.8m					
-7.2m	885.8m					
-7.2m	886m					
-7.2m	885.8m					
-7.2m	884.8m					
-7.2m	884.6m					
-7.2m	884.4m					
-7.2m	884.4m					
-7.2m	884.5m					
-7.2m	884.4m					
-7.2m	884.4m					
-7.2m	884.5m					
-7.2m	884.4m					
-7.2m	889m					
-7.2m	891.8m					
-7.2m	891.8m					
-7.2m	891.9m					
-7.2m	891.8m					
-7.2m	891.7m					
-7.2m	891.8m					
-7.2m	891.8m					
-7.2m	891.7m					
-7.2m	893.6m					
-7.2m	893.8m					
-7.2m	893.7m					
-7.2m	893.9m					
-7.2m	893.9m					
-7.2m	893.7m					
-7.2m	893.8m					
-7.3m	893.8m					
-7.3m	893.7m					
-7.2m	898.3m					
-7.2m	899.1m					
-7.2m	899m					
-7.3m	899.2m					
-7.3m	899.1m					
-7.3m	899.1m					
-7.3m	899.2m					
-7.3m	899.1m					
-7.3m	899.2m					
-7.3m	900.6m					
-7.3m	900.3m					
-7.3m	900.4m					
-7.3m	900.6m					
-7.3m	900.3m					
-7.3m	900.4m					
-7.2m	900.6m					
-7.3m	900.4m					
-7.3m	900.4m					
-7.3m	900.6m					
-7.3m	900.4m					
-7.3m	900.4m					
-7.3m	900.6m					
-7.3m	900.4m					
-7.3m	900.4m					
-7.3m	900.6m					
-7.3m	900.5m					
-7.3m	899.5m					
-7.3m	897.9m					
-7.3m	897.8m					
-7.3m	897.8m					
-7.3m	897.8m					
-7.3m	897.7m					
-7.3m	897.7m					
-7.3m	898m					
-7.3m	897.7m					
-7.3m	899.8m					
-7.3m	901.3m					
-7.4m	901.1m					
-7.4m	901.1m					
-7.4m	901.3m					
-7.4m	901.1m					
-7.3m	901.2m					
-7.4m	901.3m					
-7.3m	901.2m					
-7.3m	906.6m					
-7.3m	907.3m					
-7.4m	907.1m					
-7.3m	907.2m					
-7.4m	907.3m					
-7.3m	907m					
-7.3m	907.1m					
-7.4m	907.3m					
-7.4m	907.7m					
-7.3m	909.8m					
-7.4m	910m					
-7.4m	909.8m					
-7.4m	909.8m					
-7.4m	909.9m					
-7.4m	909.8m					
-7.3m	909.9m					
-7.4m	909.9m					
-7.4m	911.8m					
-7.4m	913.8m					
-7.4m	913.9m					
-7.4m	913.8m					
-7.4m	913.9m					
-7.4m	913.8m					
-7.4m	913.8m					
-7.4m	913.9m					
-7.4m	913.8m					
-7.4m	915.9m					
-7.4m	916.6m					
-7.4m	916.5m					
-7.4m	916.5m					
-7.4m	916.6m					
-7.4m	916.4m					
-7.4m	916.5m					
-7.3m	916.5m					
-7.4m	916.2m					
-7.4m	912.4m					
-7.4m	912.6m					
-7.4m	912.4m					
-7.4m	912.3m					
-7.4m	912.6m					
-7.4m	912.4m					
-7.4m	912.4m					
-7.4m	912.6m					
-7.4m	912.3m					
-7.4m	911.8m					
-7.4m	911.9m					
-7.4m	911.8m					
-7.4m	911.7m					
-7.4m	911.9m					
-7.4m	911.8m					
-7.4m	911.7m					
-7.4m	911.9m					
-7.5m	913.5m					
-7.4m	914.5m					
-7.4m	914.6m					
-7.5m	914.5m					
-7.4m	914.5m					
-7.4m	914.5m					
-7.4m	914.3m					
-7.5m	914.5m					
-7.5m	914.6m					
-7.5m	916.3m					
-7.4m	916.5m					
-7.5m	916.6m					
-7.4m	916.4m					
-7.4m	916.5m					
-7.5m	916.6m					
-7.5m	916.4m					
-7.5m	916.4m					
-7.4m	918.9m					
-7.5m	927.8m					
-7.5m	927.9m					
-7.5m	928m					
