Pressure (psi) - Plot 0	Flow (GPM) - Plot 0	Pressure (psi) - Plot 1	Flow (GPM) - Plot 1	Pressure (psi) - Plot 2	Flow (GPM) - Plot 2	
281.1	1.3					
280.8	1.3					
282.6	1.3					
283.4	1.3					
282.9	1.3					
284.2	1.3					
284.3	1.3					
283.9	1.3					
285.3	1.3					
286	1.3					
285.6	1.3					
286.5	1.3					
286.6	1.3					
286.7	1.3					
288.4	1.3					
288.7	1.3					
289.2	1.3					
289.5	1.3					
289	1.3					
289.2	1.3					
290.3	1.3					
289.6	1.3					
290.3	1.3					
290.9	1.3					
289.7	1.3					
290.1	1.3					
291.1	1.3					
290.4	1.3					
290.7	1.3					
291.6	1.3					
290.3	1.3					
290.6	1.3					
291.2	1.3					
290.4	1.3					
291.2	1.3					
292.2	1.3					
291	1.3					
291.5	1.3					
291.7	1.3					
291.3	1.3					
292.2	1.3					
292.6	1.3					
292.2	1.3					
292.8	1.3					
292.5	1.3					
291.8	1.3					
293	1.3					
293.1	1.3					
293.2	1.3					
294	1.3					
293.8	1.3					
293.5	1.3					
294.5	1.3					
294	1.3					
294.3	1.3					
295	1.3					
294	1.3					
293.9	1.3					
294.7	1.3					
294.1	1.3					
294.7	1.3					
295.5	1.3					
294.4	1.3					
294.4	1.3					
294.8	1.3					
294.2	1.3					
294.6	1.3					
295.1	1.3					
294	1.3					
294.2	1.3					
294.1	1.3					
293.6	1.3					
294.4	1.3					
294.7	1.3					
294.5	1.3					
294.7	1.3					
294.4	1.3					
293.6	1.3					
294.7	1.3					
294.6	1.3					
294.5	1.3					
295.1	1.3					
294.4	1.3					
294.3	1.3					
295.1	1.3					
294.7	1.3					
295.2	1.3					
296	1.3					
294.9	1.3					
294.7	1.3					
295.2	1.3					
294.3	1.3					
294.9	1.3					
295.7	1.3					
294.5	1.3					
294.7	1.3					
295	1.3					
294.5	1.3					
294.9	1.3					
295.5	1.3					
294.5	1.3					
294.6	1.3					
294.2	1.3					
293.3	1.3					
294.1	1.3					
294.2	1.3					
293.7	1.3					
293.9	1.3					
293	1.3					
292.3	1.3					
293.4	1.3					
292.9	1.3					
293	1.3					
293.8	1.3					
292.9	1.3					
292.6	1.3					
293.7	1.3					
293.2	1.3					
293.2	1.3					
294.6	1.3					
293.2	1.3					
292.6	1.3					
293.8	1.3					
293.3	1.3					
293.7	1.3					
295.2	1.3					
294.4	1.3					
294.2	1.3					
294.7	1.3					
293.7	1.3					
294	1.3					
294.9	1.3					
294	1.3					
293.8	1.3					
294	1.3					
293.2	1.3					
293.9	1.3					
294.4	1.3					
294	1.3					
294.5	1.3					
294.4	1.3					
293.4	1.3					
294.6	1.3					
294.6	1.3					
294.6	1.3					
295.3	1.3					
294.5	1.3					
293.6	1.3					
294.4	1.3					
293.6	1.3					
293.5	1.3					
294.4	1.3					
293.4	1.3					
292.9	1.3					
293.8	1.3					
293.2	1.3					
293.6	1.3					
294.9	1.3					
294.5	1.3					
294.2	1.3					
294.7	1.3					
294.2	1.3					
293.9	1.3					
294.6	1.3					
294.4	1.3					
294	1.3					
294	1.3					
293.5	1.3					
294.2	1.3					
294.2	1.3					
294.1	1.3					
294.5	1.3					
294.3	1.3					
293.6	1.3					
294.2	1.3					
294	1.3					
293.7	1.3					
294.8	1.3					
293.5	1.3					
292.7	1.3					
293.3	1.3					
292.6	1.3					
292.5	1.3					
294.1	1.3					
293.4	1.3					
292.9	1.3					
293.7	1.3					
293.2	1.3					
293.2	1.3					
294.4	1.3					
293.6	1.3					
293.1	1.3					
293.4	1.3					
292.7	1.3					
292.9	1.3					
293.3	1.3					
293.1	1.3					
293.1	1.3					
293	1.3					
292.1	1.3					
293.1	1.3					
293.2	1.3					
293.2	1.3					
294.1	1.3					
293.5	1.3					
292.8	1.3					
294.1	1.3					
294.1	1.3					
293.8	1.3					
294.9	1.3					
294	1.3					
293.2	1.3					
294.3	1.3					
293.9	1.3					
293.4	1.3					
294.9	1.3					
294.7	1.3					
293.8	1.3					
294.6	1.3					
294	1.3					
293.8	1.3					
295	1.3					
294.6	1.3					
294	1.3					
294.6	1.3					
293.8	1.3					
294.2	1.3					
294.5	1.3					
294.1	1.3					
294	1.3					
294	1.3					
293.1	1.3					
293.8	1.3					
294.1	1.3					
293.7	1.3					
295	1.3					
294.4	1.3					
293.4	1.3					
294.1	1.3					
293.8	1.3					
293	1.3					
294.5	1.3					
293.4	1.3					
292.2	1.3					
293.1	1.3					
292.8	1.3					
292.2	1.3					
293.8	1.3					
293.7	1.3					
292.9	1.3					
294	1.3					
293.6	1.3					
293.4	1.3					
294.4	1.3					
294.2	1.3					
293.6	1.3					
294.1	1.3					
293.3	1.3					
293.6	1.3					
294.1	1.3					
294.1	1.3					
294.5	1.3					
294.6	1.3					
293.7	1.3					
294.7	1.3					
294.9	1.3					
294.6	1.3					
295.5	1.3					
294.6	1.3					
293.4	1.3					
294.3	1.3					
293.7	1.3					
293.2	1.3					
294.7	1.3					
